place,folder
Alfhöjd,1920/
Alfredshem,1942/
Alfredshem,1945/
Alfredshem,1948/
Alfredshem,1946/
Alfredshem,1943/
Alfredshem,1952/
Alingsås,1951/
Alingsås,1943/
Alingsås,1952/
Alingsås,1945/
Alingsås,1949/
Alingsås,1948/
Alingsås,1950/
Alsen,1944/
Alsen,1943/
Alsen,1942/
Angola,197576/
Antnäs,1935/
Antnäs,1934/
Antnäs,1931/
Antnäs,1926/
Antnäs,1927/
Antnäs,1930/
Antnäs,1938/
Antnäs,1928/
Antnäs,1932/
Antnäs,1939/
Antnäs,1933/
Antnäs,1922/
Antnäs,1925/
Antnäs,1940/
Antnäs,1923/
Antnäs,1924/
Antnäs,1937/
Antnäs,1929/
Antnäs,1921/
Antnäs,1936/
Antnäs,1920/
Appuna,1951/
Appuna,1952/
Appuna,1950/
Arboga,1920/
Arboga,1921/
Arkösund,1928/
Arkösund,1930/
Arkösund,1926/
Arkösund,1927/
Aspa,1920/
Aspeboda,1950/
Aspeboda,1952/
Aspeboda,1945/
Aspeboda,1948/
Aspeboda,1949/
Aspeboda,1946/
Aspeboda,1951/
Atvidaberg,1940/
Backa,1921/
Backa,1920/
Backa,1924/
Backa,1922/
Baggarbo,1928/
Baggarbo,1932/
Bakeröd,1944/
Bakeröd,1943/
Bakeröd,1949/
Bakeröd,1941/
Bakeröd,1942/
Bakeröd,1948/
Bakeröd,1947/
Bakeröd,1946/
Bakeröd,1951/
Bakeröd,1945/
Bakeröd,1950/
Bakeröd,1952/
Berg,1927/
Berg,1930/
Berg,1928/
Berg,1929/
Berg,1932/
Berg,1925/
Berg,1926/
Berg,1920/
Berg,1922/
Berg,1923/
Berg,1924/
Berg,1921/
Betingetorp,1927/
Bjuv,1923/
Bjuv,1928/
Bjuv,1922/
Bjuv,1925/
Bjuv,1924/
Bjuv,1931/
Bjuv,1926/
Bjuv,1927/
Bjälbo,1927/
Bjälbo,1925/
Bjälbo,1921/
Bjälbo,1926/
Bjälbo,1930/
Bjälbo,1920/
Bjälbo,1929/
Bjälbo,1928/
Bjälbo,1922/
Bjälbo,1923/
Bjälbo,1932/
Bjälbo,1931/
Björkäng,1950/
Björkäng,1949/
Björkäng,1951/
Björkäng,1952/
Björnlunda,1940/
Björnlunda,1938/
Björnlunda,1939/
Blädinge,1922/
Blädinge,1933/
Blädinge,1929/
Blädinge,1928/
Blädinge,1925/
Blädinge,1927/
Blädinge,1932/
Blädinge,1926/
Blädinge,1921/
Blädinge,1923/
Blädinge,1924/
Blädinge,1934/
Blädinge,1931/
Boa,1925/
Boa,1927/
Boa,1932/
Boa,1922/
Boa,1923/
Boa,1929/
Boa,1920/
Boa,1928/
Boa,1921/
Boa,1924/
Boa,1926/
Boa,1930/
Bodgla,1948/
Bogla,1949/
Bogla,1946/
Bogla,1938/
Bogla,1941/
Bogla,1940/
Bogla,1948/
Bogla,1943/
Bogla,1945/
Bogla,1951/
Bogla,1947/
Bogla,1937/
Bogla,1952/
Bogla,1950/
Bogla,1944/
Bonarp,1920/
Bonarp,1927/
Bonarp,1929/
Bonarp,1930/
Bonarp,1933/
Bonarp,1928/
Bonarp,1931/
Bonarp,1924/
Borås,1950/
Borås,1949/
Borås,1951/
Borås,1952/
Boxholm,1932/
Boxholm,1939/
Boxholm,1927/
Boxholm,1924/
Boxholm,1936/
Boxholm,1934/
Boxholm,1937/
Boxholm,1935/
Boxholm,1925/
Boxholm,1938/
Boxholm,1933/
Boxholm,1928/
Boxholm,1926/
Boxholm,1940/
Boxholm,1931/
Boxholm,1929/
Boxholm,1930/
Bramstorp,1920/
Bramstorp,1921/
Bramstorp,1932/
Bramstorp,1936/
Bramstorp,1935/
Bramstorp,1934/
Bramstorp,1933/
Bramstorp,1930/
Bramstorp,1929/
Bramstorp,1931/
Brattfors,1930/
Brattfors,1920/
Bro,1936/
Bro,1935/
Bro,1924/
Bro,1933/
Bro,1923/
Bro,1930/
Bro,1931/
Bro,1932/
Bro,1929/
Bro,1934/
Broaryd,1928/
Broaryd,1931/
Broaryd,1934/
Broaryd,1932/
Broaryd,1923/
Broaryd,1922/
Broaryd,1933/
Broaryd,1930/
Broaryd,1929/
Broaryd,1927/
Broaryd,1935/
Broaryd,1924/
Broaryd,1926/
Broaryd,1925/
Broberg,1923/
Broberg,1926/
Broberg,1927/
Broberg,1929/
Broberg,1931/
Broberg,1922/
Broberg,1921/
Broberg,1920/
Broberg,1928/
Broberg,1932/
Broberg,1930/
Broberg,1925/
Broberg,1924/
Broddbo,1928/
Brånalt,1927/
Brånalt,1926/
Brånalt,1932/
Brånalt,1924/
Brånalt,1931/
Brånalt,1928/
Brånalt,1925/
Brånalt,1920/
Brånalt,1921/
Brånalt,1923/
Brånalt,1922/
Brånalt,1930/
Burträsk,1936/
Bussjö,1941/
Byske,1932/
Byske,1929/
Bäck,1925/
Bäck,1921/
Bäck,1926/
Bäck,1922/
Bäckland,1932/
Bäckland,1931/
Bäckland,1930/
Bäckland,1926/
Bäckland,1928/
Bäckland,1920/
Bäckland,1921/
Bäckland,1927/
Bäckland,1929/
Bäckland,1925/
Bästekille,1949/
Bästekille,1951/
Bästekille,1950/
Bästekille,1952/
Dahl,1952/
Dahl,1944/
Dahl,1945/
Dahl,1948/
Dahl,1936/
Dahl,1933/
Dahl,1938/
Dahl,1943/
Dahl,1947/
Dahl,1951/
Dahl,1934/
Dahl,1942/
Dahl,1941/
Dahl,1946/
Dahl,1939/
Dahl,1950/
Dahl,1940/
Dahl,1937/
Dahl,1949/
Dahl,1935/
Degerfors,1945/
Degerfors,1943/
Degerfors,1948/
Degerfors,1952/
Degerfors,1944/
Degerfors,1949/
Degerfors,1951/
Degerfors,1941/
Degerfors,1947/
Degerfors,1950/
Degerfors,1946/
Digernäs,1930/
Digernäs,1923/
Digernäs,1936/
Digernäs,1929/
Digernäs,1926/
Digernäs,1927/
Digernäs,1925/
Digernäs,1931/
Digernäs,1934/
Digernäs,1935/
Digernäs,1924/
Digernäs,1933/
Digernäs,1928/
Digernäs,1932/
Digernäs,1922/
Djursnäs,1939/
Djursnäs,1933/
Djursnäs,1938/
Djursnäs,1937/
Djursnäs,1936/
Dombäcksmark,1920/
Doverstorp,1946/
Doverstorp,1948/
Doverstorp,1947/
Doverstorp,1941/
Doverstorp,1943/
Doverstorp,1945/
Doverstorp,1942/
Doverstorp,1944/
Dunker,1937/
Dunker,1933/
Dunker,1940/
Dunker,1930/
Dunker,1938/
Dunker,1951/
Dunker,1939/
Dunker,1935/
Dunker,1946/
Dunker,1947/
Dunker,1948/
Dunker,1929/
Dunker,1934/
Dunker,1931/
Dunker,1950/
Dunker,1949/
Dunker,1932/
Dunker,1952/
Dunker,1945/
Dunker,1936/
Dädesjö,1949/
Dädesjö,1938/
Dädesjö,1939/
Dädesjö,1948/
Dädesjö,1950/
Dädesjö,1937/
Dädesjö,1952/
Dädesjö,1945/
Dädesjö,1944/
Dädesjö,1936/
Dädesjö,1951/
ELandafors,1946/
Edsbyn,1923/
Edsbyn,1922/
Edsbyn,1930/
Edsbyn,1928/
Edsbyn,1927/
Edsbyn,1929/
Edsbyn,1926/
Edsbyn,1921/
Edsbyn,1925/
Edsbyn,1932/
Edsbäcken,1930/
Edsbäcken,1925/
Edsbäcken,1928/
Edsbäcken,1931/
Edsbäcken,1926/
Edsbäcken,1924/
Edsbäcken,1922/
Edsbäcken,1921/
Edsbäcken,1920/
Edsbäcken,1923/
Edsbäcken,1927/
Eliantorp,1920/
Erlandsro,1931/
Erlandsro,1932/
Erlandsro,1925/
Erlandsro,1926/
Erlandsro,1930/
Erlandsro,1920/
Erlandsro,1929/
Erlandsro,1928/
Erlandsro,1927/
Ersbacken,1951/
Ersbacken,1948/
Ersbacken,1946/
Ersbacken,1952/
Ersbacken,1945/
Ersbacken,1950/
Ersbacken,1949/
Ersbacken,1947/
Eskilstuna,1937/
Eskilstuna,1933/
Eskilstuna,1941/
Eskilstuna,1944/
Eskilstuna,1946/
Eskilstuna,1930/
Eskilstuna,1924/
Eskilstuna,1926/
Eskilstuna,1939/
Eskilstuna,1929/
Eskilstuna,1943/
Eskilstuna,1923/
Eskilstuna,1945/
Eskilstuna,1940/
Eskilstuna,1935/
Eskilstuna,1942/
Eskilstuna,1934/
Eskilstuna,1931/
Eskilstuna,1932/
Eskilstuna,1938/
Eskilstuna,1928/
Eskilstuna,1922/
Eskilstuna,1936/
Essvik,1952/
Falkenberg,1927/
Falkenberg,1928/
Falkenberg,1925/
Falkenberg,1943/
Falkenberg,1934/
Falkenberg,1933/
Falkenberg,1942/
Falkenberg,1931/
Falkenberg,1926/
Falkenberg,1932/
Falkenberg,1944/
Falkenberg,1935/
Falkenberg,1941/
Falkenberg,1938/
Falkenberg,1929/
Falkenberg,1936/
Falkenberg,1930/
Falkenberg,1939/
Falkenberg,1940/
Falkenberg,1937/
Falla,1944/
Falla,1935/
Falla,1943/
Falla,1932/
Falla,1931/
Falla,1941/
Falla,1939/
Falla,1933/
Falla,1940/
Falla,1929/
Falla,1926/
Falla,1945/
Falla,1934/
Falla,1936/
Falla,1937/
Falla,1942/
Falla,1928/
Falla,1938/
Falla,1930/
Falla,1925/
Falun,1924/
Falun,1925/
Falun,1932/
Falun,1940/
Falun,1939/
Falun,1934/
Falun,1947/
Falun,1921/
Falun,1935/
Falun,1928/
Falun,1936/
Falun,1927/
Falun,1926/
Falun,1922/
Falun,1920/
Falun,1946/
Falun,1931/
Falun,1948/
Falun,1937/
Falun,1930/
Falun,1933/
Falun,1945/
Falun,1923/
Falun,1938/
Falun,1929/
Fiskeby,1921/
Fjäle,1941/
Fjäle,1942/
Fjäle,1943/
Fjäle,1944/
Fnridhill,1922/
Fridhill,1924/
Fridhill,1920/
Fridhill,1921/
Fridhill,1923/
Fridhill,1922/
Fridhill,1932/
Fritorp,1928/
Fritorp,1920/
Fritorp,1929/
Fritorp,1921/
Fritorp,1927/
Fritorp,1923/
Fritorp,1932/
Fritorp,1933/
Fritorp,1922/
Fritorp,1934/
Fritorp,1926/
Fritorp,1930/
Fritorp,1931/
Fritorp,1924/
Fritorp,1925/
Frosterud,1920/
Frägsta,1941/
Frägsta,1938/
Frägsta,1940/
Frägsta,1943/
Frägsta,1942/
Frägsta,1944/
Frägsta,1937/
Frägsta,1939/
Frändesta,1937/
Frändesta,1946/
Frändesta,1940/
Frändesta,1945/
Frändesta,1942/
Frändesta,1941/
Frändesta,1938/
Frändesta,1944/
Frändesta,1939/
Frändesta,1943/
Funäsdalen,1921/
Furuvik,1930/
Furuvik,1931/
Furuvik,1926/
Furuvik,1928/
Furuvik,1929/
Furuvik,1927/
Furuvik,1932/
Fårekulla,1929/
Fårekulla,1930/
Fårekulla,1932/
Fårekulla,1931/
Gahns,1934/
Gahns,1935/
Gahns,1936/
Gans,1933/
Gans,1925/
Gans,1929/
Gans,1926/
Gans,1930/
Gans,1927/
Gans,1932/
Gans,1928/
Gans,1931/
Gasabäck,1924/
Gasabäck,1920/
Gasabäck,1922/
Gasabäck,1921/
Gasabäck,1923/
Gisselås,1941/
Gisselås,1942/
Gisselås,1946/
Gisselås,1943/
Gisselås,1948/
Gisselås,1944/
Gisselås,1945/
Golvvasta,1926/
Golvvasta,1933/
Golvvasta,1928/
Golvvasta,1930/
Golvvasta,1921/
Golvvasta,1920/
Golvvasta,1932/
Golvvasta,1934/
Golvvasta,1924/
Golvvasta,1931/
Golvvasta,1929/
Golvvasta,1923/
Golvvasta,1925/
Golvvasta,1927/
Granebo,1941/
Granebo,1945/
Granebo,1942/
Granebo,1939/
Granebo,1947/
Granebo,1946/
Granebo,1944/
Grimbo,1922/
Grimbo,1926/
Grimbo,1924/
Grimbo,1928/
Grimbo,1937/
Grimbo,1925/
Grimbo,1929/
Grimbo,1936/
Grimbo,1935/
Grimbo,1927/
Grimbo,1923/
Grimbo,1931/
Grimbo,1921/
Grimbo,1932/
Grimbo,1920/
Grimbo,1930/
Grimbo,1933/
Grimbo,1934/
Grytterud,1934/
Grängesberg,1934/
Grängesberg,1926/
Grängesberg,1937/
Grängesberg,1944/
Grängesberg,1936/
Grängesberg,1925/
Grängesberg,1945/
Grängesberg,1932/
Grängesberg,1935/
Grängesberg,1929/
Grängesberg,1930/
Grängesberg,1947/
Grängesberg,1942/
Grängesberg,1927/
Grängesberg,1921/
Grängesberg,1923/
Grängesberg,1941/
Grängesberg,1922/
Grängesberg,1931/
Grängesberg,1939/
Grängesberg,1938/
Grängesberg,1920/
Grängesberg,1933/
Grängesberg,1924/
Grängseberg,1934/
Grönvik,1942/
Grönvik,1932/
Grönvik,1952/
Grönvik,1941/
Grönvik,1937/
Grönvik,1947/
Grönvik,1944/
Grönvik,1923/
Grönvik,1945/
Grönvik,1927/
Grönvik,1928/
Grönvik,1943/
Grönvik,1929/
Grönvik,1949/
Grönvik,1933/
Grönvik,1926/
Grönvik,1931/
Grönvik,1924/
Grönvik,1946/
Grönvik,1948/
Grönvik,1930/
Grönvik,1921/
Grönvik,1950/
Grönvik,1922/
Grönvik,1934/
Grönvik,1925/
Grönvik,1951/
Grönvik,1936/
Grönvik,1935/
Gäddvik,1941/
Gäre,1920/
Gävle,1948/
Gävle,1929/
Gävle,1942/
Gävle,1935/
Gävle,1926/
Gävle,1943/
Gävle,1932/
Gävle,1927/
Gävle,1939/
Gävle,1949/
Gävle,1941/
Gävle,1936/
Gävle,1933/
Gävle,1923/
Gävle,1951/
Gävle,1928/
Gävle,1931/
Gävle,1946/
Gävle,1944/
Gävle,1940/
Gävle,1930/
Gävle,1947/
Gävle,1921/
Gävle,1952/
Gävle,1925/
