Tätort,Kommun,Folkmängd(31 dec 2020),Landareal(hektar),Täthet(inv./km²),Tätorts-kod
Halltorp,Kalmar kommun,274,69,397,T2248
Halmstad,Halmstads kommun,71 316,3 668,1 944,T3960
Halvarsgårdarna,Borlänge kommun,299,70,427,T6568
Hamburgsund,Tanums kommun,704,139,507,T4372
Hammar,Kristianstads kommun,3 556,246,1 446,T2904
Hammar,Askersunds kommun,267,66,405,T5968
Hammarby,Sandvikens kommun,535,103,519,T7084
Hammarstrand,Ragunda kommun,1 103,280,394,T7856
Hammenhög,Simrishamns kommun,926,133,696,T2908
Hammerdal,Strömsunds kommun,1 083,406,267,T7860
Hampetorp,Örebro kommun,316,134,236,T5974
Hanaskog,Östra Göinge kommun,1 483,144,1 030,T2912
Haparanda,Haparanda kommun,6 554,596,1 100,T8604
Hara,Östersunds kommun,231,103,224,T7864
Harads,Bodens kommun,472,83,569,T8608
Harbo,Heby kommun,816,125,653,T6228
Hargshamn,Östhammars kommun,292,106,276,T0560
Harkie,Västerås kommun,310,114,272,T6260
Harkskär och Utvalnäs,Gävle kommun,461,150,307,T7346
Harlösa,Eslövs kommun,840,95,884,T3440
Harmånger,Nordanstigs kommun,589,108,545,T7096
Harplinge,Halmstads kommun,1 602,147,1 090,T3964
Hartungviken och Spikarna,Sundsvalls kommun,507,250,203,T7486
Hassela,Nordanstigs kommun,329,91,362,T7172
Hasselfors,Laxå kommun,395,95,416,T5980
Hasslarp,Helsingborgs kommun,585,60,975,T3444
Hasslö,Karlskrona kommun,1 678,363,462,T2640
Hasslöv,Laholms kommun,272,53,513,T3968
Havdhem,Region Gotland,255,95,268,T2508
Haverdal,Halmstads kommun,1 821,359,507,T3972
Havsbaden,Ängelholms kommun,657,95,692,T3198
Heberg,Falkenbergs kommun,463,72,643,T3976
Heby,Heby kommun,2 823,386,731,T6232
Hedared,Borås kommun,337,74,455,T4860
Hede,Härjedalens kommun,762,268,284,T7868
Hedekas,Munkedals kommun,406,95,427,T4380
Hedemora,Hedemora kommun,7 597,586,1 296,T6572
Heden och Skansbacken,Vansbro kommun,347,205,169,T6682
Hedenäset,Övertorneå kommun,224,138,162,T8612
Hedeskoga,Ystads kommun,252,20,1 260,T3448
Hedesunda,Gävle kommun,1 029,143,720,T7104
Hedkärra,Fagersta kommun,190,55,346,T6234
Hedlunda,Lycksele kommun,227,55,413,T8194
Helgö,Ekerö kommun,291,99,294,T0454
Helsingborg,Helsingborgs kommun,113 816,4 103,2 774,T3452
Hemavan,Storumans kommun,273,198,138,T8198
Hemmestorp,Sjöbo kommun,391,114,343,T3838
Hemmingsmark,Piteå kommun,363,85,427,T8616
Hemse,Region Gotland,1 766,229,771,T2512
Henån,Orusts kommun,2 375,490,485,T4384
Herrljunga,Herrljunga kommun,4 075,386,1 056,T4864
Herrskog,Kramfors kommun,200,66,303,T7488
Herräng,Norrtälje kommun,350,189,185,T0184
Herstadberg,Norrköpings kommun,237,28,846,T1088
Hestra,Ydre kommun,473,79,599,T1092
Hestra,Gislaveds kommun,1 362,210,649,T1504
Hillared,Svenljunga kommun,633,109,581,T4868
Hillerstorp,Gnosjö kommun,1 753,244,718,T1508
Hilleshögby,Ekerö kommun,241,82,294,T0210
Hillsta och Se,Sandvikens kommun,283,70,404,T7110
Himle,Varbergs kommun,292,50,584,T3982
Hindås,Härryda kommun,3 098,489,634,T4392
Hishult,Laholms kommun,338,96,352,T3984
Hissjö,Umeå kommun,474,109,435,T8196
Hissmofors,Krokoms kommun,298,110,271,T7872
Hittarp,Helsingborgs kommun,4 628,234,1 978,T3456
Hjo,Hjo kommun,6 357,501,1 269,T5296
Hjorted,Västerviks kommun,335,65,515,T2256
Hjortkvarn,Hallsbergs kommun,239,85,281,T5984
Hjortnäs,Leksands kommun,282,203,139,T6574
Hjortsberga,Alvesta kommun,253,63,402,T1872
Hjälm,Kungsbacka kommun,272,33,824,T3986
Hjälmared,Alingsås kommun,330,50,660,T4870
Hjälteby,Tjörns kommun,209,58,360,T5542
Hjältevad,Eksjö kommun,383,110,348,T1512
Hjärnarp,Ängelholms kommun,1 202,213,564,T2916
Hjärsås,Östra Göinge kommun,208,28,743,T2920
Hjärtum,Lilla Edets kommun,381,57,668,T4872
Hjärup,Staffanstorps kommun,5 591,220,2 541,T3460
Hofors,Hofors kommun,6 200,632,981,T7112
Hofterup,Kävlinge kommun,4 007,494,811,T3464
Hogstad,Mjölby kommun,230,45,511,T1096
Hogstorp,Uddevalla kommun,396,62,639,T4398
Hok,Vaggeryds kommun,670,90,744,T1516
Holm,Halmstads kommun,828,116,714,T3988
Holmeja,Svedala kommun,218,24,908,T3466
Holmsjö,Karlskrona kommun,377,120,314,T2644
Holmsund,Umeå kommun,6 046,775,780,T8200
Holsbybrunn,Vetlanda kommun,846,120,705,T1520
Holsljunga,Svenljunga kommun,214,39,549,T4876
Horda,Värnamo kommun,363,72,504,T1524
Horla,Vårgårda kommun,242,67,361,T4402
Horn,Kinda kommun,472,93,508,T1100
Horndal,Avesta kommun,1 074,273,393,T6576
Horred,Marks kommun,1 261,165,764,T4880
Horsta och Laggarberg,Timrå kommun,210,54,389,T7544
Hortlax,Piteå kommun,1 085,114,952,T8620
Hoting,Strömsunds kommun,631,115,549,T7876
Hova,Gullspångs kommun,1 272,183,695,T5300
Hoverberg,Bergs kommun,211,141,150,T7878
Hovid,Sundsvalls kommun,218,54,404,T7492
Hovmantorp,Lessebo kommun,3 199,281,1 138,T1876
Hovsta,Örebro kommun,2 782,157,1 772,T5988
Huaröd,Kristianstads kommun,266,83,321,T2924
Hudiksvall,Hudiksvalls kommun,16 570,1 326,1 250,T7120
Hult,Eksjö kommun,430,60,717,T1528
Hultafors,Bollebygds kommun,324,71,456,T4884
Hultsfred,Hultsfreds kommun,5 675,566,1 003,T2260
Hulu,Ulricehamns kommun,249,63,395,T4888
"Hulukvarn, Ulfstorp och Västersjön",Jönköpings kommun,352,227,155,T1756
Hummelsta,Enköpings kommun,945,76,1 243,T0564
Hunnebostrand,Sotenäs kommun,2 006,352,570,T4404
Hunnestad,Varbergs kommun,278,97,287,T3994
Hurva,Eslövs kommun,391,64,611,T3472
Husby och Tuna,Strängnäs kommun,266,160,166,T0890
Hustahöjden,Västerås kommun,225,24,938,T6386
Husum,Örnsköldsviks kommun,1 522,396,384,T7496
Hybo,Ljusdals kommun,214,50,428,T7124
Hyllinge,Åstorps kommun,2 421,169,1 433,T2928
Hyltebruk,Hylte kommun,4 072,467,872,T3992
Hysingsvik,Norrtälje kommun,213,183,116,T0456
Hyssna,Marks kommun,734,167,440,T4892
Håbo-Tibble kyrkby,Upplands-Bro kommun,664,158,420,T0190
Håga,Uppsala kommun,296,32,925,T0566
Håksberg,Ludvika kommun,426,67,636,T6580
Hållsta,Gnesta kommun,199,63,316,T0930
Hållsta,Eskilstuna kommun,888,102,871,T0756
Hånger,Värnamo kommun,322,72,447,T1532
Häggeby och Vreta,Håbo kommun,254,67,379,T0570
Häggenås,Östersunds kommun,347,107,324,T7880
Häljarp,Landskrona kommun,3 604,221,1 631,T3476
Hällaryd,Karlshamns kommun,631,116,544,T2648
Hällberga,Eskilstuna kommun,610,65,939,T0760
Hällbybrunn,Eskilstuna kommun,3 400,309,1 100,T0764
Hällbäcken och Sinksundet,Luleå kommun,1 014,105,966,T8874
Hällefors,Hällefors kommun,4 459,524,851,T5996
Hälleforsnäs,Flens kommun,1 615,216,748,T0768
Hällekis,Götene kommun,641,127,505,T5304
Hällestad,Finspångs kommun,322,93,346,T1104
Hällesåker,Mölndals kommun,727,232,313,T4410
Hällevadsholm,Munkedals kommun,776,101,768,T4412
Hällevik,Sölvesborgs kommun,1 523,343,444,T2652
Hällingsjö,Härryda kommun,494,96,515,T4354
Hällnäs,Vindelns kommun,229,81,283,T8204
Hälsö,Öckerö kommun,590,62,952,T4420
Härad,Strängnäs kommun,556,83,670,T0772
Häradsbygden,Leksands kommun,694,200,347,T6584
Härnösand,Härnösands kommun,18 502,1 142,1 620,T7500
Härryda,Härryda kommun,1 179,356,331,T4424
Härslöv,Landskrona kommun,410,39,1 051,T3484
Hässleholm,Hässleholms kommun,19 435,1 323,1 469,T2936
Hästhagen,Nacka kommun,499,37,1 349,T0192
Hästholmen,Ödeshögs kommun,320,48,667,T1108
Hästveda,Hässleholms kommun,1 747,292,598,T2940
Hästängen,Norrtälje kommun,743,243,306,T0442
"Hätte, Seglarvik och Sandvik",Tranås kommun,255,74,345,T1536
Höganäs,Höganäs kommun,16 001,1 036,1 545,T3488
Högboda,Kils kommun,312,120,260,T5730
Höggeröd,Orusts kommun,261,189,138,T4426
Högsby,Högsby kommun,1 971,262,752,T2264
Högsjö,Vingåkers kommun,651,98,664,T0776
Högsäter,Färgelanda kommun,754,112,673,T4900
Hökerum,Ulricehamns kommun,650,86,756,T4904
Hököpinge,Vellinge kommun,1 370,87,1 575,T3492
Höllviken,Vellinge kommun,15 640,1 312,1 192,T3496
Hölö,Södertälje kommun,1 602,168,954,T0196
Hönö,Öckerö kommun,9 124,612,1 491,T4428
Hörby,Hörby kommun,7 629,560,1 362,T3500
Hörnefors,Umeå kommun,2 517,237,1 062,T8208
Hörvik,Sölvesborgs kommun,816,124,658,T2656
Höviksnäs,Tjörns kommun,3 469,674,515,T4514
Höör,Höörs kommun,12 802,1 619,791,T3504
Idkerberget,Borlänge kommun,260,77,338,T6588
Idre,Älvdalens kommun,661,140,472,T6592
Igelfors,Finspångs kommun,221,39,567,T1116
Igelstorp,Skövde kommun,660,73,904,T5308
Iggesund,Hudiksvalls kommun,3 437,436,788,T7132
Ilsbo,Nordanstigs kommun,463,68,681,T7136
Immeln,Östra Göinge kommun,308,116,266,T2948
Indal,Sundsvalls kommun,964,251,384,T7504
Ingared,Alingsås kommun,2 380,330,721,T4908
Ingatorp,Eksjö kommun,467,110,425,T1540
Ingelstad,Växjö kommun,1 881,207,909,T1884
Ingelsträde,Höganäs kommun,254,44,577,T3508
Innertavle,Umeå kommun,587,72,815,T8210
Insjön,Leksands kommun,2 120,369,575,T6596
Inskogen,Oxelösunds kommun,221,21,1 052,T0778
Irsta,Västerås kommun,2 835,160,1 772,T6356
Johannesudd,Vallentuna kommun,306,16,1 913,T0202
Johannishus,Ronneby kommun,743,100,743,T2660
Johansfors,Emmaboda kommun,412,139,296,T2272
Jokkmokk,Jokkmokks kommun,2 754,275,1 002,T8628
Jonsered,Partille kommun,872,110,793,T4432
Jonslund,Essunga kommun,309,75,412,T5312
Jonstorp,Höganäs kommun,2 130,194,1 098,T3512
Jordbro,Haninge kommun,11 617,488,2 381,T0200
Jukkasjärvi,Kiruna kommun,687,137,502,T8632
Jung,Vara kommun,396,96,413,T5316
Jungfrusund,Ekerö kommun,299,14,2 136,T0183
Junosuando,Pajala kommun,283,142,199,T8636
Junsele,Sollefteå kommun,779,226,345,T7512
Juoksengi,Övertorneå kommun,286,151,189,T8640
Jäderfors,Sandvikens kommun,319,61,523,T7140
Jälla,Uppsala kommun,2 114,122,1 733,T0514
Jämjö,Karlskrona kommun,2 675,317,844,T2664
Jämshög,Olofströms kommun,1 584,255,621,T2668
Jämtön,Luleå kommun,206,78,264,T8644
Järavallen,Kävlinge kommun,250,30,833,T2950
Järbo,Sandvikens kommun,1 770,244,725,T7148
Järlåsa,Uppsala kommun,577,76,759,T0568
Järna,Södertälje kommun,6 153,390,1 578,T0204
Järna,Vansbro kommun,1 624,588,276,T6468
Järnforsen,Hultsfreds kommun,426,140,304,T2276
Järpen,Åre kommun,1 589,234,679,T7884
Järpås,Lidköpings kommun,790,106,745,T5320
Järvsö,Ljusdals kommun,1 513,345,439,T7152
Jättendal,Nordanstigs kommun,253,110,230,T7154
Jävre,Piteå kommun,583,167,349,T8648
Jönköping,Jönköpings kommun,100 259,4 783,2 096,T1544
Jönåker,Nyköpings kommun,628,85,739,T0780
Jörlanda,Stenungsunds kommun,1 547,343,451,T4436
Jörn,Skellefteå kommun,636,177,359,T8212
Jössefors,Arvika kommun,715,127,563,T5700
Kagghamra,Botkyrka kommun,286,86,333,T0458
Kalix,Kalix kommun,8 393,895,938,T8656
Kalkudden,Strängnäs kommun,285,181,158,T0782
Kallax,Luleå kommun,493,170,290,T8658
Kallfors,Södertälje kommun,1 491,142,1 050,T0444
Kallinge,Ronneby kommun,4 841,523,926,T2672
Kalmar,Kalmar kommun,41 388,1 998,2 072,T2280
Kalvsund,Öckerö kommun,245,25,980,T4434
Kangos,Pajala kommun,226,145,156,T8660
Karby,Vallentuna kommun,838,55,1 524,T0208
Kareby och Ringby,Kungälvs kommun,236,56,421,T4458
Karesuando,Kiruna kommun,279,74,377,T8664
Karlholmsbruk,Tierps kommun,1 263,284,445,T0572
Karlsborg,Karlsborgs kommun,3 749,505,742,T5324
Karlshamn,Karlshamns kommun,20 283,1 597,1 270,T2676
Karlskoga,Karlskoga kommun,27 386,2 037,1 344,T6008
Karlskrona,Karlskrona kommun,36 904,2 121,1 740,T2680
Karlstad,Karlstads kommun,65 856,2 833,2 325,T5704
Karlsvik,Luleå kommun,232,33,703,T8670
Kartlandet och Hagsätter,Norrköpings kommun,232,72,322,T1352
Karups sommarby,Sjöbo kommun,397,90,441,T2952
Kastlösa,Mörbylånga kommun,219,103,213,T2284
Katrinedal,Vänersborgs kommun,405,44,921,T4330
Katrineholm,Katrineholms kommun,24 447,1 181,2 070,T0784
Kattarp,Helsingborgs kommun,768,73,1 052,T3516
Kaxholmen,Jönköpings kommun,1 793,163,1 100,T1548
Kebal,Strömstads kommun,373,207,180,T4439
Kil,Nacka kommun,1 017,91,1 118,T0212
Kil,Kils kommun,7 796,795,981,T5708
Kilafors,Bollnäs kommun,1 168,153,763,T7156
Killeberg,Osby kommun,624,117,533,T2956
Kilsmo,Örebro kommun,230,32,719,T6012
Kimstad,Norrköpings kommun,1 627,176,924,T1128
Kinna,Marks kommun,15 448,1 971,784,T4912
Kinnared,Hylte kommun,319,91,351,T3996
Kinnarp,Falköpings kommun,963,148,651,T5328
Kinnarumma,Borås kommun,381,73,522,T4916
Kiruna,Kiruna kommun,16 420,898,1 829,T8676
Kisa,Kinda kommun,3 813,438,871,T1132
Kivik,Simrishamns kommun,883,192,460,T2960
Kivinge,Håbo kommun,202,55,367,T0690
Kjulaås,Eskilstuna kommun,937,102,919,T0788
Klagstorp,Trelleborgs kommun,599,106,565,T3528
Klapparvik och Källby,Söderhamns kommun,211,71,297,T7390
Klevshult,Vaggeryds kommun,292,65,449,T1552
Klingsta och Allsta,Sundsvalls kommun,567,167,340,T7402
Klintehamn,Region Gotland,1 541,291,530,T2520
Klippan,Klippans kommun,8 874,547,1 622,T2964
Klippans bruk,Klippans kommun,364,60,607,T2968
Klockestrand,Kramfors kommun,284,85,334,T7516
Klockrike,Motala kommun,255,41,622,T1136
Klutmark,Skellefteå kommun,201,72,279,T8218
Klågerup,Svedala kommun,2 277,117,1 946,T3532
Klädesholmen,Tjörns kommun,322,30,1 073,T4440
Kläppa,Kungsbacka kommun,735,147,500,T3998
Klässbol,Arvika kommun,309,97,319,T5712
Klövedal,Tjörns kommun,596,272,219,T4442
Klöverträsk,Luleå kommun,240,64,375,T8680
Klövsjö,Bergs kommun,343,337,102,T7886
Knislinge,Östra Göinge kommun,3 379,294,1 149,T2972
Knivsta,Knivsta kommun,8 440,423,1 995,T0576
Knutby,Uppsala kommun,692,132,524,T0580
Knäred,Laholms kommun,1 219,292,418,T4000
Kode,Kungälvs kommun,1 665,164,1 015,T4444
Kolbäck,Hallstahammars kommun,2 055,209,983,T6244
Kolsva,Köpings kommun,2 378,223,1 066,T6248
Konga,Tingsryds kommun,458,100,458,T1892
Kopparberg,Ljusnarsbergs kommun,2 900,512,566,T6016
Kopparmora,Värmdö kommun,2 302,737,312,T0214
Koppom,Eda kommun,625,228,274,T5716
Korpilombolo,Pajala kommun,507,111,457,T8688
Korsberga,Vetlanda kommun,750,115,652,T1752
Korsberga,Hjo kommun,210,54,389,T5332
Korsgården,Falu kommun,924,176,525,T6458
Korsträsk,Älvsbyns kommun,330,56,589,T8692
Kortebo,Jönköpings kommun,867,112,774,T1554
Koskullskulle,Gällivare kommun,1 193,134,890,T8694
Kosta,Lessebo kommun,915,174,526,T1896
Kovikshamn,Kungälvs kommun,518,210,247,T4446
Koviksudde och Skeviksstrand,Värmdö kommun,338,92,367,T0370
Kovland,Sundsvalls kommun,464,58,800,T7520
Kramfors,Kramfors kommun,6 881,861,799,T7524
Kristdala,Oskarshamns kommun,974,180,541,T2288
Kristevik och Sundsandvik,Uddevalla kommun,406,145,280,T4632
Kristianstad,Kristianstads kommun,41 299,2 159,1 913,T2980
Kristinehamn,Kristinehamns kommun,18 597,1 456,1 277,T5720
Kristvallabrunn,Nybro kommun,221,62,357,T2292
Krokek,Norrköpings kommun,5 139,579,888,T1140
Krokom,Krokoms kommun,1 870,161,1 162,T7888
Krägga,Håbo kommun,628,126,498,T0584
Kränge,Linköpings kommun,253,52,487,T1142
Kullaberg och Tvååker,Varbergs kommun,207,63,329,T4230
Kullersta,Eskilstuna kommun,466,258,181,T0786
Kulltorp,Gnosjö kommun,360,70,514,T1556
Kullö,Vaxholms kommun,1 016,46,2 209,T0222
Kumla,Kumla kommun,17 253,1 128,1 530,T6020
Kummelnäs,Nacka kommun,4 869,611,797,T0216
Kungsbacka,Kungsbacka kommun,23 830,1 168,2 040,T4008
Kungsberga,Ekerö kommun,917,253,363,T0218
Kungsgården,Sandvikens kommun,776,168,462,T7168
Kungshamn,Sotenäs kommun,3 456,363,952,T4448
Kungshult,Eslövs kommun,394,47,838,T3540
Kungsängen,Upplands-Bro kommun,12 513,475,2 634,T0220
Kungsäter,Varbergs kommun,408,98,416,T4012
Kungsör,Kungsörs kommun,5 913,436,1 356,T6256
Kungälv,Kungälvs kommun,19 890,1 097,1 813,T4452
Kurland,Trelleborgs kommun,626,40,1 565,T3538
Kurveröd,Uddevalla kommun,1 405,67,2 097,T4454
Kusmark,Skellefteå kommun,470,128,367,T8224
Kuttainen,Kiruna kommun,211,56,377,T8704
Kvegerö,Nyköpings kommun,224,210,107,T0794
Kvibille,Halmstads kommun,974,100,974,T4016
Kvicksund,Västerås kommun,2 209,462,478,T0792
Kvidinge,Åstorps kommun,1 972,184,1 072,T2984
Kvillsfors,Vetlanda kommun,493,95,519,T1560
Kvissleby,Sundsvalls kommun,5 145,608,846,T7532
Kvista,Upplands-Bro kommun,369,8,4 613,T0460
Kvänum,Vara kommun,1 320,176,750,T5336
Kvärlöv,Landskrona kommun,253,46,550,T3542
Kyrkeby och Nereby,Kungälvs kommun,361,128,282,T4376
Kyrkesund,Tjörns kommun,527,556,95,T4460
Kyrkheddinge,Staffanstorps kommun,250,51,490,T3543
Kyrkhult,Olofströms kommun,953,166,574,T2684
Kyrksten,Storfors kommun,263,32,822,T5722
Kåge,Skellefteå kommun,2 275,272,836,T8228
Kågeröd,Svalövs kommun,1 544,180,858,T3544
Kåhög,Partille kommun,896,54,1 659,T4464
Kållekärr,Tjörns kommun,704,77,914,T4468
Kånna,Ljungby kommun,314,47,668,T1900
Kårsta,Vallentuna kommun,526,80,658,T0224
Kälarne,Bräcke kommun,377,137,275,T7896
Källby,Götene kommun,1 771,223,794,T5340
Källhagen,Gävle kommun,504,179,282,T7170
Källö-Knippla,Öckerö kommun,307,34,903,T4476
Kärda,Värnamo kommun,333,45,740,T1564
Kärna,Kungälvs kommun,1 157,118,981,T4480
Kärsta,Västerås kommun,256,29,883,T6266
Kättilsmåla,Karlskrona kommun,251,62,405,T2686
Kättilstorp,Falköpings kommun,238,53,449,T5344
Kävlinge,Kävlinge kommun,10 026,486,2 063,T3552
Köinge,Falkenbergs kommun,219,49,447,T4020
Köping,Köpings kommun,18 711,1 007,1 858,T6268
Köpingebro,Ystads kommun,1 265,115,1 100,T3556
Köpmanholmen,Örnsköldsviks kommun,1 179,250,472,T7540
Lagan,Ljungby kommun,1 642,242,679,T1904
Laggarsvik och Linanäs,Österåkers kommun,327,388,84,T0270
Laholm,Laholms kommun,6 922,543,1 275,T4028
Lammhult,Växjö kommun,1 751,190,922,T1908
Landeryd,Hylte kommun,393,85,462,T4032
Landfjärden,Nynäshamns kommun,280,129,217,T0226
Landsbro,Vetlanda kommun,1 510,211,716,T1568
Landskrona,Landskrona kommun,33 372,1 295,2 577,T3560
Landvetter,Härryda kommun,9 243,887,1 042,T4484
Lanesund och Överby,Uddevalla kommun,566,95,596,T4482
Lanna,Värnamo kommun,354,101,351,T1572
Larv,Vara kommun,227,82,277,T5346
Latorpsbruk,Örebro kommun,778,125,622,T6032
Laxvik,Halmstads kommun,483,65,743,T4034
Laxå,Laxå kommun,3 200,424,755,T6036
Lekeryd,Jönköpings kommun,777,78,996,T1576
Leksand,Leksands kommun,6 401,942,680,T6608
Lenhovda,Uppvidinge kommun,1 769,238,743,T1912
Lerbäckshult,Ängelholms kommun,623,154,405,T2986
Lerdala,Skövde kommun,540,141,383,T5348
Lerum,Lerums kommun,28 491,2 495,1 142,T4920
Lesjöfors,Filipstads kommun,736,176,418,T5732
Lessebo,Lessebo kommun,3 051,340,897,T1916
Liatorp,Älmhults kommun,540,88,614,T1920
Lidatorp och Klövsta,Nynäshamns kommun,400,41,976,T0254
Liden,Sundsvalls kommun,298,86,347,T7548
Lidhult,Ljungby kommun,676,132,512,T1924
Lidingö,Lidingö kommun,44 091,1 680,2 625,T0228
Lidköping,Lidköpings kommun,23 554,1 286,1 832,T5352
Lidköping norra,Lidköpings kommun,4 287,409,1 048,T4486
Lilla Edet,Lilla Edets kommun,3 884,311,1 249,T4924
Lilla Edet västra,Lilla Edets kommun,1 615,140,1 154,T4490
Lilla Harrie,Kävlinge kommun,383,48,798,T3568
Lilla Stenby,Ekerö kommun,250,84,298,T0230
Lilla Tjärby,Laholms kommun,971,95,1 022,T4036
Lillhaga,Ljusdals kommun,381,75,508,T7178
Lillhärdal,Härjedalens kommun,354,228,155,T7904
Lillkyrka,Enköpings kommun,279,43,649,T0588
Lillpite,Piteå kommun,386,133,290,T8720
Lima,Malung-Sälens kommun,215,72,299,T6612
Limedsforsen,Malung-Sälens kommun,370,258,143,T6616
Limmared,Tranemo kommun,1 484,146,1 016,T4928
Linderöd,Kristianstads kommun,490,107,458,T2988
Lindesberg,Lindesbergs kommun,9 718,820,1 185,T6040
Lindholmen,Vallentuna kommun,1 219,128,952,T0232
Lindsdal,Kalmar kommun,5 977,406,1 472,T2300
Lindö,Norrköpings kommun,5 198,314,1 655,T1144
Lingbo,Ockelbo kommun,408,268,152,T7180
Linghed,Falu kommun,574,189,304,T6620
Linghem,Linköpings kommun,3 186,192,1 659,T1148
Linköping,Linköpings kommun,115 672,3 841,3 012,T1152
Linneryd,Tingsryds kommun,449,127,354,T1932
Listerby,Ronneby kommun,1 023,213,480,T2688
Lit,Östersunds kommun,1 182,130,909,T7908
Ljung och Annelund,Herrljunga kommun,1 212,180,673,T4712
Ljunga,Norrköpings kommun,729,95,767,T1156
Ljungaviken,Sölvesborgs kommun,353,17,2 077,T2778
Ljungby,Ljungby kommun,16 052,1 238,1 297,T1936
Ljungbyhed,Klippans kommun,2 192,357,614,T2992
Ljungbyholm,Kalmar kommun,1 827,210,870,T2304
Ljungsarp,Tranemo kommun,219,47,466,T4936
Ljungsbro,Linköpings kommun,6 783,450,1 507,T1160
Ljungskile,Uddevalla kommun,4 046,401,1 009,T4492
Ljusdal,Ljusdals kommun,7 209,729,989,T7184
Ljusfallshammar,Finspångs kommun,318,72,442,T1164
Ljusne,Söderhamns kommun,1 991,326,611,T7188
Loftahammar,Västerviks kommun,422,134,315,T2308
Lomma,Lomma kommun,13 772,593,2 322,T3576
Los,Ljusdals kommun,332,158,210,T7192
Lotorp,Finspångs kommun,660,98,674,T1168
Lottefors,Bollnäs kommun,358,98,365,T7196
Lucksta,Sundsvalls kommun,596,156,382,T7560
Luddingsbo,Söderköpings kommun,237,59,402,T1162
Ludvika,Ludvika kommun,15 612,1 117,1 398,T6624
Lugnet och Skälsmara,Värmdö kommun,701,292,240,T0314
Lugnvik,Kramfors kommun,298,116,257,T7564
Lugnås,Mariestads kommun,608,110,553,T5356
Luleå,Luleå kommun,49 123,2 856,1 720,T8724
Lund,Lunds kommun,94 393,2 652,3 559,T3584
Lund,Gävle kommun,471,120,393,T7198
Lundby,Kungälvs kommun,270,63,429,T4494
Lundby och Malm,Norrköpings kommun,227,40,568,T1354
Lunde,Kramfors kommun,335,129,260,T7568
Lundsbrunn,Götene kommun,901,129,698,T5360
Lunnarp,Tomelilla kommun,326,57,572,T2996
Lunne,Östersunds kommun,268,128,209,T7906
Lurudden,Ekerö kommun,229,57,402,T0246
Lustigkulla och Gröndal,Hallstahammars kommun,493,63,783,T6226
Lycksele,Lycksele kommun,8 660,772,1 122,T8232
Lycksta,Västerås kommun,270,35,771,T6262
Lyrestad,Mariestads kommun,489,70,699,T5364
Lysekil,Lysekils kommun,7 702,479,1 608,T4496
Lysvik,Sunne kommun,330,88,375,T5744
Långared,Alingsås kommun,281,121,232,T4502
Långasand och Ugglarp,Falkenbergs kommun,417,267,156,T4048
Långasjö,Emmaboda kommun,342,82,417,T2312
Långsele,Sollefteå kommun,1 550,244,635,T7572
Långshyttan,Hedemora kommun,1 438,278,517,T6632
Långvik,Värmdö kommun,1 246,301,414,T0234
Långviksmon,Örnsköldsviks kommun,200,58,345,T7576
Långås,Falkenbergs kommun,584,75,779,T4040
Läby,Uppsala kommun,227,35,649,T0590
Läckeby,Kalmar kommun,955,124,770,T2316
Länghem,Tranemo kommun,1 111,143,777,T4940
Länna,Uppsala kommun,670,104,644,T0592
Läppe,Vingåkers kommun,249,139,179,T0808
Lärbro,Region Gotland,449,76,591,T2528
Löberöd,Eslövs kommun,1 287,140,919,T3588
Löddeköpinge,Kävlinge kommun,6 707,409,1 640,T3592
Löderup,Ystads kommun,626,86,728,T3596
Lödöse,Lilla Edets kommun,1 871,189,990,T4944
Lögdeå,Nordmalings kommun,571,180,317,T8236
Lönsboda,Osby kommun,1 943,267,728,T3000
Lörby,Sölvesborgs kommun,263,88,299,T2692
Löttorp,Borgholms kommun,576,433,133,T2324
Lövestad,Sjöbo kommun,671,107,627,T3600
Lövstalöt,Uppsala kommun,1 445,94,1 537,T0596
Lövånger,Skellefteå kommun,804,139,578,T8240
Löwenströmska lasarettet,Upplands Väsby kommun,581,68,854,T0236
Madängsholm,Tidaholms kommun,397,65,611,T5368
Magra,Alingsås kommun,204,62,329,T4530
Mala,Hässleholms kommun,223,81,275,T3008
Malmberget,Gällivare kommun,927,164,565,T8732
Malmberget östra,Gällivare kommun,397,91,436,T8730
Malmbäck,Nässjö kommun,1 112,188,592,T1584
Malmen,Västerås kommun,1 035,82,1 262,T6270
Malmköping,Flens kommun,2 180,142,1 535,T0796
Malmslätt,Linköpings kommun,4 963,273,1 818,T1172
Malmö,Malmö kommun,324 002,7 705,4 205,T3604
Malmön,Sotenäs kommun,267,105,254,T4500
Malsta,Norrtälje kommun,213,56,380,T0462
Malung,Malung-Sälens kommun,5 014,1 045,480,T6636
Malungsfors,Malung-Sälens kommun,557,276,202,T6640
Malå,Malå kommun,1 998,251,796,T8244
Mantorp,Mjölby kommun,3 973,349,1 138,T1176
Marbystrand,Norrköpings kommun,292,64,456,T1178
Marbäck,Ulricehamns kommun,510,70,729,T4948
Margretetorp,Ängelholms kommun,260,70,371,T3010
Mariannelund,Eksjö kommun,1 591,225,707,T1588
Marieby,Östersunds kommun,470,203,232,T7910
Mariefred,Strängnäs kommun,4 247,300,1 416,T0800
Marieholm,Eslövs kommun,1 741,142,1 226,T3608
Marielund,Uppsala kommun,305,129,236,T0598
Marielund,Strängnäs kommun,914,41,2 229,T0798
Mariestad,Mariestads kommun,16 566,1 176,1 409,T5372
