Tätort,Kommun,Folkmängd(31 dec 2020),Landareal(hektar),Täthet(inv./km²),Tätorts-kod
Axvall,Skara kommun,1 130,116,974,T5208
Backa,Rättviks kommun,646,355,182,T6410
Backaryd,Ronneby kommun,374,71,527,T2600
Backe,Strömsunds kommun,498,150,332,T7804
Baggetorp,Vingåkers kommun,568,121,469,T0704
Ballingslöv,Hässleholms kommun,361,66,547,T2804
Balsby,Kristianstads kommun,514,69,745,T2808
Bammarboda,Österåkers kommun,671,309,217,T0102
Bankekind,Linköpings kommun,495,48,1 031,T1008
Bankeryd,Jönköpings kommun,8 822,750,1 176,T1412
Bara,Svedala kommun,3 938,174,2 263,T3332
Barkarö,Västerås kommun,1 641,157,1 045,T6204
Barnarp och Odensjö,Jönköpings kommun,2 924,202,1 448,T1612
Barsebäck,Kävlinge kommun,977,63,1 551,T3336
Barsebäckshamn,Kävlinge kommun,498,54,922,T3337
Baskemölla,Simrishamns kommun,303,70,433,T2812
Bastuträsk,Norsjö kommun,322,90,358,T8112
Beddingestrand,Trelleborgs kommun,1 520,386,394,T3338
Bengtsfors,Bengtsfors kommun,3 224,390,827,T4720
Bengtsheden,Falu kommun,524,182,288,T6412
Bensbyn,Luleå kommun,605,129,469,T8528
Berg,Åtvidabergs kommun,302,54,559,T1012
Berg,Linköpings kommun,1 285,116,1 108,T1016
Berg,Gävle kommun,301,118,255,T7014
Berga,Högsby kommun,732,145,505,T2108
Bergagård,Falkenbergs kommun,259,86,301,T3908
Bergby,Gävle kommun,1 525,467,327,T7016
Bergeforsen,Timrå kommun,1 741,282,617,T7416
Berghem,Marks kommun,381,86,443,T4724
Bergkvara,Torsås kommun,1 221,258,473,T2112
Bergnäset,Luleå kommun,3 761,299,1 258,T8532
Bergshammar,Nyköpings kommun,826,66,1 252,T0708
Bergshamra,Norrtälje kommun,658,262,251,T0100
Bergsjö,Nordanstigs kommun,1 332,186,716,T7020
Bergströmshusen,Staffanstorps kommun,403,31,1 300,T2814
Bergsviken,Piteå kommun,2 312,214,1 080,T8536
Bergvik,Söderhamns kommun,648,165,393,T7024
Bestorp,Linköpings kommun,513,95,540,T1020
Betsede,Värmdö kommun,319,56,570,T0122
Bettna,Flens kommun,375,70,536,T0712
Bie,Katrineholms kommun,518,63,822,T0716
Billeberga,Svalövs kommun,1 064,141,755,T3340
Billinge,Eslövs kommun,459,81,567,T3348
Billingsfors,Bengtsfors kommun,1 141,160,713,T4728
Billsta,Örnsköldsviks kommun,362,103,352,T7420
Bjurholm,Bjurholms kommun,1 013,166,610,T8120
Bjursås,Falu kommun,2 106,560,376,T6424
Bjuv,Bjuvs kommun,10 911,967,1 128,T3352
Bjärlöv,Kristianstads kommun,242,69,351,T3354
Bjärnum,Hässleholms kommun,2 815,434,649,T2816
Bjärred,Lomma kommun,9 916,510,1 944,T3356
Bjärsjölagård,Sjöbo kommun,399,75,532,T3360
Bjästa,Örnsköldsviks kommun,1 806,244,740,T7424
